name	population
API_API101	Alpine
API_API103	Alpine
API_API106	Alpine
API_API111	Alpine
API_API112	Alpine
API_API113	Alpine
API_API114	Alpine
API_API115	Alpine
API_API116	Alpine
API_API117	Alpine
API_API118	Alpine
API_API120	Alpine
API_API125	Alpine
API_API126	Alpine
API_API127	Alpine
API_API128	Alpine
API_API129	Alpine
API_API130	Alpine
API_API131	Alpine
API_API134	Alpine
API_API135	Alpine
API_API139	Alpine
API_API140	Alpine
API_API141	Alpine
API_API143	Alpine
API_API144	Alpine
API_API146	Alpine
API_API147	Alpine
API_API148	Alpine
API_API149	Alpine
API_API150	Alpine
API_API151	Alpine
API_API153	Alpine
API_API154	Alpine
API_API155	Alpine
API_API156	Alpine
API_API157	Alpine
API_API158	Alpine
API_API159	Alpine
API_API160	Alpine
API_API161	Alpine
API_API162	Alpine
API_API163	Alpine
API_API164	Alpine
API_API166	Alpine
API_API168	Alpine
API_API169	Alpine
API_API170	Alpine
API_API171	Alpine
API_API172	Alpine
BBV_BV9729	Alpine
BBV_BV0062	Alpine
BBV_BV0125	Alpine
BBV_BV0132	Alpine
BBV_BV0134	Alpine
BBV_BV0138	Alpine
BBV_BV0145	Alpine
BBV_BV0146	Alpine
BBV_BV0150	Alpine
BBV_BV0161	Alpine
BBV_BV1004	Alpine
BBV_BV1012	Alpine
BBV_BV1070	Alpine
BBV_BV1071	Alpine
BBV_BV1079	Alpine
BBV_BV1086	Alpine
BBV_BV1092	Alpine
BBV_BV1112	Alpine
BBV_BV1123	Alpine
BBV_BV1143	Alpine
BBV_BV1147	Alpine
BBV_BV1162	Alpine
BBV_BV1172	Alpine
BBV_BV1187	Alpine
BBV_BV1190	Alpine
BBV_BV1233	Alpine
BBV_BV1284	Alpine
BBV_BV1302	Alpine
BBV_BV1303	Alpine
BBV_BV1310	Alpine
BBV_BV1321	Alpine
BBV_BV1327	Alpine
BBV_BV1336	Alpine
BBV_BV1355	Alpine
BBV_BV1397	Alpine
BBV_BV1401	Alpine
BBV_BV1430	Alpine
BBV_BV1550	Alpine
BBV_BV0001	Alpine
BBV_BV0002	Alpine
BBV_BV0045	Alpine
BBV_BV0218	Alpine
BBV_BV0630	Alpine
BBV_BV0843	Alpine
BBV_BV0664	Alpine
BBV_BV0781	Alpine
BBV_BV0785	Alpine
BBV_BV0799	Alpine
BBV_BV0809	Alpine
BBV_BV1127	Alpine
DFV_FV0065	Alpine
DFV_FVM103	Alpine
DFV_FVM111	Alpine
DFV_FVM114	Alpine
DFV_FVM202	Alpine
DFV_FV0038	Alpine
DFV_FV0013	Alpine
DFV_FV0048	Alpine
DFV_FV0020	Alpine
DFV_FV0007	Alpine
DFV_FV0028	Alpine
DFV_FV0022	Alpine
DFV_FV0011	Alpine
DFV_FV0028	Alpine
DFV_FVM121	Alpine
DFV_FVM125	Alpine
DFV_FVM130	Alpine
DFV_FVM112	Alpine
DFV_FVM129	Alpine
DFV_FVM131	Alpine
DFV_FV0130	Alpine
DFV_FV0140	Alpine
DFV_FV0274	Alpine
DFV_FV0278	Alpine
DFV_FV0279	Alpine
DFV_FV0432	Alpine
DFV_FV0443	Alpine
DFV_FV0445	Alpine
DFV_FV0464	Alpine
DFV_FV0543	Alpine
DFV_FV0565	Alpine
DFV_FV0582	Alpine
DFV_FV0592	Alpine
DFV_FV0601	Alpine
DFV_FV0633	Alpine
DFV_FV0635	Alpine
DFV_FV0641	Alpine
DFV_FV0645	Alpine
DFV_FV0649	Alpine
DFV_FV0650	Alpine
DFV_FV0740	Alpine
DFV_FV0755	Alpine
DFV_FV0757	Alpine
DFV_FV0765	Alpine
DFV_FV0776	Alpine
DFV_FV0785	Alpine
DFV_FV0786	Alpine
DFV_FV0788	Alpine
DFV_FV26805	Alpine
DFV_FV21405	Alpine
FGV_FGV004	Alpine
FGV_FGV005	Alpine
FGV_FGV009	Alpine
FGV_FGV011	Alpine
